order_id,order_date,customer_id,customer_segment,region,state,city,product_category,product_subcategory,product_name,quantity,unit_price,discount,revenue,cost,profit
1000,2025-04-27 17:22:11.125223,239,Consumer,North,Chandigarh,Chandigarh,Electronics,Mobiles,iPhone,4,3686,0.14,12679.84,10653.38087128175,2026.4591287182502
1001,2025-08-05 17:22:11.125420,92,Corporate,North,Chandigarh,Chandigarh,Electronics,Mobiles,Samsung Galaxy,5,1275,0.1,5737.5,4845.691305968038,891.8086940319617
1002,2025-08-09 17:22:11.125440,10,Consumer,South,Bangalore,Bangalore,Clothing,Men,Jeans,2,3824,0.11,6806.72,5868.740898078062,937.9791019219383
1003,2026-02-21 17:22:11.125450,140,Consumer,West,Mumbai,Mumbai,Electronics,Mobiles,Samsung Galaxy,5,2299,0.26,8506.3,8363.79478044439,142.50521955560907
1004,2025-10-11 17:22:11.125458,41,Corporate,West,Ahmedabad,Ahmedabad,Clothing,Women,Dress,5,350,0.03,1697.5,1076.0025597560718,621.4974402439282
1005,2026-01-17 17:22:11.125465,270,Corporate,East,Kolkata,Kolkata,Clothing,Women,Dress,3,4311,0.14,11122.38,8932.384285444725,2189.9957145552744
1006,2025-08-03 17:22:11.125473,61,Consumer,South,Chennai,Chennai,Clothing,Women,Dress,3,2132,0.12,5628.4800000000005,5047.496892918198,580.9831070818027
1007,2026-01-15 17:22:11.125480,1,Home Office,West,Ahmedabad,Ahmedabad,Electronics,Laptops,HP Laptop,1,3126,0.09,2844.6600000000003,2374.245839650203,470.4141603497974
1008,2025-05-02 17:22:11.125487,190,Consumer,East,Bhubaneswar,Bhubaneswar,Furniture,Tables,Study Table,1,1828,0.07,1700.04,1321.0696048156494,378.97039518435054
1009,2025-12-25 17:22:11.125495,173,Home Office,East,Bhubaneswar,Bhubaneswar,Grocery,Snacks,Chips,2,4502,0.0,9004.0,7193.093126508634,1810.9068734913662
1010,2025-06-01 17:22:11.125502,46,Home Office,East,Bhubaneswar,Bhubaneswar,Clothing,Women,Kurti,1,2051,0.18,1681.8200000000002,1300.7533309576654,381.06666904233475
1011,2025-09-07 17:22:11.125509,129,Home Office,East,Bhubaneswar,Bhubaneswar,Electronics,Laptops,HP Laptop,5,2938,0.16,12339.6,9183.39417091786,3156.2058290821406
1012,2025-09-12 17:22:11.125516,2,Home Office,East,Kolkata,Kolkata,Electronics,Mobiles,OnePlus,3,4488,0.14,11579.039999999999,9555.756200925705,2023.2837990742937
1013,2025-04-22 17:22:11.125522,104,Consumer,North,Chandigarh,Chandigarh,Electronics,Mobiles,Samsung Galaxy,2,1260,0.05,2394.0,1706.4522562241666,687.5477437758334
1014,2025-12-10 17:22:11.125529,63,Home Office,North,Chandigarh,Chandigarh,Clothing,Women,Kurti,2,2695,0.03,5228.3,3551.6669465934297,1676.6330534065705
1015,2025-07-19 17:22:11.125536,65,Corporate,East,Bhubaneswar,Bhubaneswar,Electronics,Mobiles,iPhone,1,425,0.21,335.75,303.8599491427387,31.890050857261315
1016,2025-07-31 17:22:11.125543,216,Corporate,South,Chennai,Chennai,Electronics,Laptops,Dell Laptop,3,3585,0.22,8388.9,7131.840949392717,1257.0590506072822
1017,2026-02-02 17:22:11.125556,173,Consumer,South,Bangalore,Bangalore,Electronics,Laptops,HP Laptop,5,2507,0.09,11406.85,8484.453349680069,2922.3966503199317
1018,2025-04-12 17:22:11.125563,47,Consumer,South,Bangalore,Bangalore,Furniture,Chairs,Office Chair,2,2543,0.25,3814.5,3841.202414966037,-26.70241496603694
1019,2025-10-21 17:22:11.125569,92,Consumer,East,Kolkata,Kolkata,Furniture,Tables,Study Table,4,4218,0.14,14509.92,11517.95753786717,2991.9624621328294
1020,2025-03-11 17:22:11.125576,12,Home Office,East,Kolkata,Kolkata,Grocery,Beverages,Tea,5,2862,0.14,12306.6,11073.881323221849,1232.7186767781513
